name,birthyear,
Charles Langhorne Carrington,1968
Clayton James Cubitt,1972
Cletus W. Blakeman,1964
Christopher John Chivers,1964
Colleen Ann O'Shaughnessey,1971
Frederick Graham,1964
Craig Harris Carton,1969
Craig E. Serling,1964
Craig Tornberg,1967
Crist J. Ballas,1965
Cristina Sofía Goettsch Cabello,1966
Cuba Michael Gooding Jr.,1968
Cynthia Williams,1966
Cynthia Ellen Nixon,1966
Cynthia Ona Innis,1969
Catherine Elizabeth Huffman,1965
Caleb Paul Chapman,1973
Caleb Schaber,1973
Callista Louise Bisek,1966
Alma Dale Campbell Brown,1968
Carl Anthony Payne II,1969
Carlo P. Basile,1971
Carmen Maria Robles,1973
Carmen Marie Twillie,1968
Carol Ann Hovenkamp,1971
Carrie Kei Heim,1973
Carson Lee Kressley,1969
Catherine Gund Saalfield,1965
Catherine Zeta Jones,1969
Lee Hae-Jin,1970
Cecilia Lueza,1971
Cenk Kadir Uygur,1970
Chad Bannon,1970
Chad Hunter Griffin,1973
Charles Davis Lowe II,1968
Chan Tha Chao,1966
Chaney Kley Minnis,1972
John Chapman Petersen,1968
Charles Bach,1970
Charles Joseph Orlando,1970
Charles Roper Jeter Jr.,1973
Charles Leonard Fletcher,1971
Charles Joseph Lollar,1971
Daphne Sharmaine Denise Polk,1971
Daran Morrison Nordlund,1964
Darcy Lynn LaPier,1965
Darin Richard Pastor,1971
Darlene Magnolia R. Antonino-Custodio,1973
Darrell M. Smith,1973
Darren Collarado Brass,1972
Darrin Dewitt Henson,1972
Daryl T. Logullo,1966
David Alan Brat,1964
David Bruce Goldberg,1967
David Robert Holmes,1971
David Christopher Palumbo,1968
David M. Price,1966
David Christopher Sheridan,1969
David Willis,1970
David Reed Bromstad,1973
David Al-Chokhachy,1968
David Lee Farabee,1964
David Bryan Hayter,1969
David Avram Isay,1965
David Scott Lascher,1972
David Lee McInnis,1973
David Anthony Mann,1966
David Mendenhall,1971
David Jason Muir,1973
David Martin Shuster,1967
David Vincent Taylor,1972
David Toussaint,1964
David Yang,1967
Daymond Garfield John,1969
Dean Douglas Hohl,1968
Deanna Tynes,1968
Diane Alexis Whipple,1968
Debra Dunning,1966
David Christopher Schofill,1965
Dorothy Diane Pfeiffer,1964
Dearon Thompson,1965
Deming Chen,1970
Derek Edwin Brown,1971
Derya Zerrin Berti,1968
Desmond Miller,1969
Dewey Dewayne Smith,1972
Diane Kathleen Murphy,1964
Darrell Lance Abbott,1966
Etan Kalil Patz,1972
Dixie Carter,1964
Dmitri Matheny,1965
Donald Frank Cheadle Jr.,1964
Donna Faye Hogan,1971
Douglas Besterman,1965
Douglas Reed Ellin,1968
Douglas Langdale,1969
Douglas Eric Liman,1965
Douglas Peter Savant,1964
Douglas Trevor,1969
Andrea Donna de Matteo,1972
Dwayne Douglas Johnson,1972
Deitra Hicks,1968
Daniel Brett Weiss,1971
Douglas James Grothe,1973
David Wayne Mitchell,1964
Richard Jeffrey Perry,1970
Mary Dagen McDowell,1969
James Marshall,1968
Dallas Mark Roberts,1970
Daniel Edward Amrich,1971
Daniel Paul Futterman,1967
Daniel Keenan Savage,1964
Daniel Joseph Seals,1971
Dana Elise Glauberman,1968
Daniel Barton Oerther,1972
Danielle Diggs,1973
Edward FitzGerald,1968
Edward Perry Healy,1973
Eddie Scott Trunk,1964
Adam Joseph Copeland,1973
Eduardo Torres Xol,1966
Efrain Antonio Ramirez,1973
Katherine Elaine Hendrix,1970
Elan Sherod Carr,1968
Elida Reyna,1972
Elizabeth Rieger,1967
Ellen R. Gallagher,1965
Ellen Urbani,1969
Emek Golan,1970
Enrique Ricardo Murciano,1973
Edwin Martin Barry II,1973
James Eric Anzalone,1965
Eric Randolph Close,1967
Patrick John Coleman,1972
Eric Matthew David Simonoff,1967
Erik Dean Prince,1969
Erika Rose Alexander,1969
Erin Cohen,1973
Erin Margaret Murphy,1964
이승은 (Lee Seung-un),1972
Eva Louise Kemeny,1964
Evan Clark Williams,1972
John F. Brannon Jr.,1965
Frank Caeti,1973
Frank R. Kassela,1968
Frank Rodriguez,1964
Frederick Combs,1971
Felix Gary Gray,1969
Alfred Langston Mitchell,1972
Gary V. Janetti,1966
Gary Simmons,1964
Michael Paul Cathers,1964
Geoffrey Mark Trachtenberg,1971
George Coleman Eads III,1967
Gerald Chertavian,1965
Gary Lawrence Kuntzman,1965
Gillian Schieber Flynn,1971
G. Craige Lewis,1969
Gabriel Sapolsky,1972
Gabriel Eduardo Gomez,1965
Gabriel Emerson Olds,1972
Gale Morgan Harold III,1969
Garret L. Dillahunt,1964
Glenn Lee Beck,1964
Glenn R. Davis Jr.,1973
Glenn Martin Christopher Francis Quinn,1970
Glenn Christopher Scarpelli,1966
Gregor Verbinski,1964
Grant Masaru Imahara,1970
Grayson Jonathan McCouch,1968
Greg Cravens,1965
Gregory Wendell Fawcett,1969
Gregory Sebastian Fitzsimmons,1966
Greg Pak,1968
Gregory Bauer Roberts IV,1969
Guillermo del Toro Gómez,1964
Gunnar Todd Rohrbacher,1968
Robert Torry,1969
Göran Kropp,1966
Hilly Gene Hicks Jr.,1970
Holly Wanner,1966
Tong Hoon Lee,1973
Horace H. Dediu,1968
Hugh Elliott,1964
Hugh Miller Herr,1964
Robert Hunter Biden,1970
Harold Eugene Ford Jr.,1970
Harry Jay Knowles,1971
Harry Joseph Lennix III,1964
Heather Schoeny,1970
Heather Rattray,1965
Heather Alicia Simms,1970
Heidi Lynne Fleiss,1965
